basic_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
12,"3.11 安全区域边界 security area boundary
等级保护对象内部不同安全等级区域之间的边界。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.11 安全区域边界,null,null,通用
13,"3.12 安全计算环境 security computing environment
等级保护对象内部进行信息处理、存储、传输等活动的区域。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.12 安全计算环境,null,null,通用
14,"3.13 安全管理中心 security management center
对等级保护对象进行统一安全管理的平台或区域。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.13 安全管理中心,null,null,通用
15,"3.14 安全建设管理 security construction management
在等级保护对象建设过程中实施的安全管理活动。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.14 安全建设管理,null,null,通用
16,"3.15 安全运维管理 security operation and maintenance management
在等级保护对象运行维护过程中实施的安全管理活动。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.15 安全运维管理,null,null,通用
17,"3.16 安全管理制度 security management system
用于规范等级保护对象安全管理活动的制度文件。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.16 安全管理制度,null,null,通用
18,"3.17 安全管理机构 security management organization
负责等级保护对象安全管理的组织机构。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.17 安全管理机构,null,null,通用
19,"3.18 安全管理人员 security management personnel
负责等级保护对象安全管理的人员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,3 术语和定义,3.18 安全管理人员,null,null,通用
20,"5.1 等级保护对象
等级保护对象是指网络安全等级保护工作中的对象，通常是指由计算机或者其他信息终端及相关设备组成的按照一定的规则和程序对信息进行收集、存储、传输、交换、处理的系统，主要包括基础信息网络、云计算平台/系统、大数据应用/平台/资源、物联网（IoT）、工业控制系统和采用移动互联技术的系统等。等级保护对象根据其在国家安全、经济建设、社会生活中的重要程度，遭到破坏后对国家安全、社会秩序、公共利益以及公民、法人和其他组织的合法权益的危害程度等，由低到高被划分为五个安全保护等级。保护对象的安全保护等级确定方法见GB/T22240。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,5 网络安全等级保护概述,5.1 等级保护对象,null,null,通用
21,"5.2 不同级别的安全保护能力
第一级安全保护能力：应能够防护免受来自个人的、拥有很少资源的威胁源发起的恶意攻击、一般的自然灾难，以及其他相当危害程度的威胁所造成的关键资源损害，在自身遭到损害后，能够恢复部分功能。
第二级安全保护能力：应能够防护免受来自外部小型组织的、拥有少量资源的威胁源发起的恶意攻击、一般的自然灾难，以及其他相当危害程度的威胁所造成的重要资源损害，能够发现重要的安全漏洞和处置安全事件，在自身遭到损害后，能够在一段时间内恢复部分功能。
第三级安全保护能力：应能够在统一安全策略下防护免受来自外部有组织的团体、拥有较为丰富资源的威胁源发起的恶意攻击、较为严重的自然灾难，以及其他相当危害程度的威胁所造成的主要资源损害，能够发现、处置安全事件，在自身遭到损害后，能够较快恢复绝大部分功能。
第四级安全保护能力：应能够在统一安全策略下防护免受来自国家级别的、敌对组织的、拥有丰富资源的威胁源发起的恶意攻击、严重的自然灾难，以及其他相当危害程度的威胁所造成的资源损害，能够发现、处置安全事件，在自身遭到损害后，能够迅速恢复所有功能。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,5 网络安全等级保护概述,5.2 不同级别的安全保护能力,null,null,通用
22,"5.3 安全通用要求和安全扩展要求
安全通用要求：不管等级保护对象形态如何必须满足的安全要求。
安全扩展要求：针对云计算、移动互联、物联网、工业控制系统提出的特殊安全要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,null,信息安全技术网络安全等级保护基本要求,5 网络安全等级保护概述,5.3 安全通用要求和安全扩展要求,null,null,通用
23,"6.1.1.1 物理访问控制
机房出入口应安排专人值守或配置电子门禁系统，控制、鉴别和记录进入的人员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.1 物理访问控制,第一级
24,"6.1.1.2 防盗窃和防破坏
应将设备或主要部件进行固定，并设置明显的不易除去的标识。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.2 防盗窃和防破坏,第一级
25,"6.1.1.3 防雷击
应将各类机柜、设施和设备等通过接地系统安全接地。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.3 防雷击,第一级
26,"6.1.1.4 防火
机房应设置灭火设备。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.4 防火,第一级
27,"6.1.1.5 防水和防潮
应采取措施防止雨水通过机房窗户、屋顶和墙壁渗透。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.5 防水和防潮,第一级
28,"6.1.1.6 温湿度控制
应设置必要的温湿度调节设施，使机房温湿度的变化在设备运行所允许的范围之内。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.6 温湿度控制,第一级
29,"6.1.1.7 电力供应
应在机房供电线路上配置稳压器和过电压防护设备。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.1 安全物理环境,6.1.1.7 电力供应,第一级
30,"6.1.2.1 通信传输
应采用校验技术保证通信过程中数据的完整性。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,通信传输安全,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.2 安全通信网络,6.1.2.1 通信传输,第一级
31,"6.1.2.2 可信验证
可基于可信根对通信设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.2 安全通信网络,6.1.2.2 可信验证,第一级
32,"6.1.3.1 边界防护
应保证跨越边界的访问和数据流通过边界设备提供的受控接口进行通信。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,边界防护,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.3 安全区域边界,6.1.3.1 边界防护,第一级
33,"6.1.3.2 访问控制
本项要求包括：
a）应在网络边界根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信；
b）应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化；
c）应对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,第一级
34,"6.1.3.3 可信验证
可基于可信根对边界设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.3 安全区域边界,6.1.3.3 可信验证,第一级
35,"6.1.4.1 身份鉴别
本项要求包括：
a）应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换；
b）应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,身份鉴别,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,第一级
36,"6.1.4.2 访问控制
本项要求包括：
a）应对登录的用户分配账户和权限；
b）应重命名或删除默认账户，修改默认账户的默认口令；
c）应及时删除或停用多余的、过期的账户，避免共享账户的存在。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.2 访问控制,第一级
37,"6.1.4.3 入侵防范
本项要求包括：
a）应遵循最小安装的原则，仅安装需要的组件和应用程序；
b）应关闭不需要的系统服务、默认共享和高危端口。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,入侵防范,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.3 入侵防范,第一级
38,"6.1.4.4 恶意代码防范
应安装防恶意代码软件或配置具有相应功能的软件，并定期进行升级和更新防恶意代码库。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,恶意代码防范,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.4 恶意代码防范,第一级
39,"6.1.4.5 可信验证
可基于可信根对计算设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.5 可信验证,第一级
40,"6.1.4.6 数据完整性
应采用校验技术保证重要数据在传输过程中的完整性。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据完整性,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.6 数据完整性,第一级
41,"6.1.4.7 数据备份恢复
应提供重要数据的本地数据备份与恢复功能。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据备份与恢复,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.4 安全计算环境,6.1.4.7 数据备份恢复,第一级
42,"6.1.5.1 管理制度
应建立日常管理活动中常用的安全管理制度。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.5 安全管理制度,6.1.5.1 管理制度,第一级
43,"6.1.6.1 岗位设置
应设立系统管理员等岗位，并定义各个工作岗位的职责。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.6 安全管理机构,6.1.6.1 岗位设置,第一级
44,"6.1.6.2 人员配备
应配备一定数量的系统管理员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.6 安全管理机构,6.1.6.2 人员配备,第一级
45,"6.1.6.3 授权和审批
应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.6 安全管理机构,6.1.6.3 授权和审批,第一级
46,"6.1.7.1 人员录用
应指定或授权专门的部门或人员负责人员录用。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.7 安全管理人员,6.1.7.1 人员录用,第一级
47,"6.1.7.2 人员离岗
应及时终止离岗人员的所有访问权限，取回各种身份证件、钥匙、徽章等以及机构提供的软硬件设备。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,人员安全管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.7 安全管理人员,6.1.7.2 人员离岗,第一级
48,"6.1.7.3 安全意识教育和培训
应对各类人员进行安全意识教育和岗位技能培训，并告知相关的安全责任和惩戒措施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全意识与培训,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.7 安全管理人员,6.1.7.3 安全意识教育和培训,第一级
49,"6.1.7.4 外部人员访问管理
应保证在外部人员访问受控区域前得到授权或审批。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.7 安全管理人员,6.1.7.4 外部人员访问管理,第一级
50,"6.1.8.1 定级和备案
应以书面的形式说明保护对象的安全保护等级及确定等级的方法和理由。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,等级保护实施,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.1 定级和备案,第一级
51,"6.1.8.2 安全方案设计
应根据安全保护等级选择基本安全措施，依据风险分析的结果补充和调整安全措施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全管理制度,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.2 安全方案设计,第一级
52,"6.1.8.3 产品采购和使用
应确保网络安全产品采购和使用符合国家的有关规定。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.3 产品采购和使用,第一级
53,"6.1.8.4 工程实施
应指定或授权专门的部门或人员负责工程实施过程的管理。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.4 工程实施,第一级
54,"6.1.8.5 测试验收
应进行安全性测试验收。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.5 测试验收,第一级
55,"6.1.8.6 系统交付
本项要求包括：
a）应制定交付清单，并根据交付清单对所交接的设备、软件和文档等进行清点；
b）应对负责运行维护的技术人员进行相应的技能培训。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,工程与交付管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.6 系统交付,第一级
56,"6.1.8.7 服务供应商选择
本项要求包括：
a）应确保服务供应商的选择符合国家的有关规定；
b）应与选定的服务供应商签订与安全相关的协议，明确约定相关责任。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,外包与供应商管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.8 安全建设管理,6.1.8.7 服务供应商选择,第一级
57,"6.1.9.1 环境管理
本项要求包括：
a）应指定专门的部门或人员负责机房安全，对机房出入进行管理，定期对机房供配电、空调、温湿度控制、消防等设施进行维护管理；
b）应对机房的安全管理做出规定，包括物理访问、物品进出和环境安全等方面。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.1 环境管理,第一级
58,"6.1.9.2 介质管理
应将介质存放在安全的环境中，对各类介质进行控制和保护，实行存储环境专人管理，并根据存档介质的目录清单定期盘点。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,剩余信息保护,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.2 介质管理,第一级
59,"6.1.9.3 设备维护管理
应对各种设备（包括备份和冗余设备）、线路等指定专门的部门或人员定期进行维护管理。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全运维管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.3 设备维护管理,第一级
60,"6.1.9.4 漏洞和风险管理
应采取必要的措施识别安全漏洞和隐患，对发现的安全漏洞和隐患及时进行修补或评估可能的影响后进行修补。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,漏洞与风险管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.4 漏洞和风险管理,第一级
61,"6.1.9.5 网络和系统安全管理
本项要求包括：
a）应划分不同的管理员角色进行网络和系统的运维管理，明确各个角色的责任和权限；
b）应指定专门的部门或人员进行账户管理，对申请账户、建立账户、删除账户等进行控制。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,网络架构,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.5 网络和系统安全管理,第一级
62,"6.1.9.6 恶意代码防范管理
本项要求包括：
a）应提高所有用户的防恶意代码意识，对外来计算机或存储设备接入系统前进行恶意代码检查等；
b）应对恶意代码防范要求做出规定，包括防恶意代码软件的授权使用、恶意代码库升级、恶意代码的定期查杀等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,恶意代码防范,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.6 恶意代码防范管理,第一级
63,"6.1.9.7 备份与恢复管理
本项要求包括：
a）应识别需要定期备份的重要业务信息、系统数据及软件系统等；
b）应规定备份信息的备份方式、备份频度、存储介质、保存期等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,数据备份与恢复,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.7 备份与恢复管理,第一级
64,"6.1.9.8 安全事件处置
本项要求包括：
a）应及时向安全管理部门报告所发现的安全弱点和可疑事件；
b）应制定安全事件报告和处置管理制度，明确不同安全事件的报告、处置和响应流程，规定安全事件的现场处理、事件报告和后期恢复的管理职责等。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,安全事件管理,信息安全技术网络安全等级保护基本要求,6 第一级安全要求,6.1 安全通用要求,6.1.9 安全运维管理,6.1.9.8 安全事件处置,第一级
65,"7.1.1.1 物理位置选择
本项要求包括：
a）机房场地应选择在具有防震、防风和防雨等能力的建筑内；b）机房场地应避免设在建筑物的顶层或地下室，否则应加强防水和防潮措施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.1 物理位置选择,第二级
66,"7.1.1.2 物理访问控制
机房出入口应安排专人值守或配置电子门禁系统，控制、鉴别和记录进入的人员。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.2 物理访问控制,第二级
67,"7.1.1.3 防盗窃和防破坏
本项要求包括：
a）应将设备或主要部件进行固定，并设置明显的不易除去的标识；b）应将通信线缆铺设在隐蔽安全处。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.3 防盗窃和防破坏,第二级
68,"7.1.1.4 防雷击
应将各类机柜、设施和设备等通过接地系统安全接地。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.4 防雷击,第二级
69,"7.1.1.5 防火
本项要求包括：
a）机房应设置火灾自动消防系统，能够自动检测火情、自动报警，并自动灭火；b）机房及相关的工作房间和辅助房应采用具有耐火等级的建筑材料。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.5 防火,第二级
70,"7.1.1.6 防水和防潮
本项要求包括：
a）应采取措施防止雨水通过机房窗户、屋顶和墙壁渗透；b）应采取措施防止机房内水蒸气结露和地下积水的转移与渗透。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.6 防水和防潮,第二级
71,"7.1.1.7 防静电
应采用防静电地板或地面并采用必要的接地防静电措施。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.7 防静电,第二级
72,"7.1.1.8 温湿度控制
应设置温湿度自动调节设施，使机房温湿度的变化在设备运行所允许的范围之内。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.8 温湿度控制,第二级
73,"7.1.1.9 电力供应
本项要求包括：
a）应在机房供电线路上配置稳压器和过电压防护设备；
b）应提供短期的备用电力供应，至少满足设备在断电情况下的正常运行要求。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.9 电力供应,第二级
74,"7.1.1.10 电磁防护
电源线和通信线缆应隔离铺设，避免互相干扰。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,物理环境安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.1 安全物理环境,7.1.1.10 电磁防护,第二级
75,"7.1.2.1 网络架构
本项要求包括：
a）应划分不同的网络区域，并按照方便管理和控制的原则为各网络区域分配地址；b）应避免将重要网络区域部署在边界处，重要网络区域与其他网络区域之间应采取可靠的技术隔离手段。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,网络架构,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.2 安全通信网络,7.1.2.1 网络架构,第二级
76,"7.1.2.2 通信传输
应采用校验技术保证通信过程中数据的完整性。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,通信传输安全,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.2 安全通信网络,7.1.2.2 通信传输,第二级
77,"7.1.2.3 可信验证
可基于可信根对通信设备的系统引导程序、系统程序、重要配置参数和通信应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警，并将验证结果形成审计记录送至安全管理中心。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,可信验证,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.2 安全通信网络,7.1.2.3 可信验证,第二级
78,"7.1.3.1 边界防护
应保证跨越边界的访问和数据流通过边界设备提供的受控接口进行通信。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,边界防护,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.1 边界防护,第二级
79,"7.1.3.2 访问控制
本项要求包括：
a）应在网络边界或区域之间根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信；b）应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化；c）应对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出；d）应能根据会话状态信息为进出数据流提供明确的允许/拒绝访问的能力。",信息安全技术网络安全等级保护基本要求,GB/T 22239-2019,访问控制,信息安全技术网络安全等级保护基本要求,7 第二级安全要求,7.1 安全通用要求,7.1.3 安全区域边界,7.1.3.2 访问控制,第二级
