cp_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
11,3.10 宿主机 host machine 运行虚拟机监视器的物理服务器,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,3 术语和定位,3.10 宿主机,null,null,通用
12,5.1 等级测评方法 等级测评实施的基本方法是针对特定的测评对象，采用相关的测评手段，遵从一定的测评规程，获取需要的证据数据，给出是否达到特定级别安全保护能力的评判。等级测评实施的详细流程和方法见GB/T28449-2018。 本标准中针对每一个要求项的测评就构成一个单项测评，针对某个要求项的所有具体测评内容构成测评实施。单项测评中的每一个具体测评实施要求项（以下简称测评要求项")是与安全控制点下面所包括的要求项(测评指标)相对应的。在对每一要求项进行测评时，可能用到访谈、核查和测试三种测评方法，也可能用到其中一种或两种。测评实施的内容完全覆盖了GB/T22239-2019及GB/T25070-2019中所有要求项的测评要求，使用时应当从单项测评的测评实施中抽取出对于GB/T22239-2019中每一个要求项的测评要求，并按照这些测评要求开发测评指导书，以规范和指导等级测评活动。 根据调研结果，分析等级保护对象的业务流程和数据流，确定测评工作的范围。结合等级保护对象的安全级别，综合分析系统中各个设备和组件的功能和特性，从等级保护对象构成组件的重要性、安全性、共享性、全面性和恰当性等几方面属性确定技术层面的测评对象，并将与其相关的人员及管理文档确定为管理层面的测评对象。测评对象可以根据类别加以描述，包括机房、业务应用软件、主机操作系统、数据库管理系统、网络互联设备、安全设备、访谈人员及安全管理文档等。 等级测评活动中涉及测评力度，包括测评广度(覆盖面)和测评深度（强弱度)。安全保护等级较高的测评实施应选择覆盖面更广的测评对象和更强的测评手段，可以获得可信度更高的测评证据，测评力度的具体描述参见附录A。 每个级别测评要求都包括安全测评通用要求、云计算安全测评扩展要求、移动互联安全测评扩展要求、物联网安全测评扩展要求和工业控制系统安全测评扩展要求5个部分。大数据可参考安全评估方法参见附录B。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,5 等级测评概述,5.1 等级测评方法,null,null,通用
13,5.2 单项测评和整体测评 等级测评包括单项测评和整体测评。 单项测评是针对各安全要求项的测评，支持测评结果的可重复性和可再现性。本标准中单项测评由测评指标、测评对象、测评实施和单元判定结果构成。为方便使用针对每个测评单元进行编号，具体描述见附录C。 整体测评是在单项测评基础上，对等级保护对象整体安全保护能力的判断。整体安全保护能力从纵深防护和措施互补两个角度评判。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,null,信息安全技术网络安全等级保护测评要求,5 等级测评概述,5.2 单项测评和整体测评,null,null,通用
14,"6.1.1.1 物理访问控制
6.1.1.1.1 测评单元（L1-PES1-01）
该测评单元包括以下要求：
a）测评指标：机房出入口应安排专人值守或配置电子门禁系统，控制、鉴别和记录进入的人员。b）测评对象：机房电子门禁系统和值守记录。c）测评实施：应核查是否安排专人值守或配置电子门禁系统。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理访问控制,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.1 物理访问控制,第一级
15,"6.1.1.2 防盗窃和防破坏
6.1.1.2.1 测评单元（L1-PES1-02）
该测评单元包括以下要求：
a）测评指标：应将设备或主要部件进行固定，并设置明显的不易除去的标识。b）测评对象：机房设备或主要部件。c）测评实施包括以下内容：1）应核查机房内设备或主要部件是否固定；2）应核查机房内设备或主要部件上是否设置了明显且不易除去的标识。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理访问控制,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.2 防盗窃和防破坏,第一级
16,6.1.1.3 防雷击 6.1.1.3.1 测评单元（L1-PES1-03）该测评单元包括以下要求： a）测评指标：应将各类机柜、设施和设备等通过接地系统安全接地。b）测评对象：机房。c）测评实施：应核查机房内机柜、设施和设备等是否进行接地处理。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。,信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.3 防雷击,第一级
17,"6.1.1.4 防火
6.1.1.4.1 测评单元（L1-PES1-04）
该测评单元包括以下要求：
a）测评指标：机房应设置灭火设备。b）测评对象：机房灭火设备。c）测评实施：应核查机房内是否配备灭火设备。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.4 防火,第一级
18,"6.1.1.5 防水和防潮
6.1.1.5.1 测评单元（L1-PES1-05）
该测评单元包括以下要求：
a）测评指标：应采取措施防止雨水通过机房窗户、屋顶和墙壁渗透。b）测评对象：机房。c）测评实施：应核查窗户、屋顶和墙壁是否采取了防雨水渗透的措施。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.5 防水和防潮,第一级
19,"6.1.1.6 温湿度控制
6.1.1.6.1 测评单元（L1-PES1-06）
该测评单元包括以下要求：
a）测评指标：应设置必要的温湿度调节设施，使机房温湿度的变化在设备运行所允许的范围之内。b）测评对象：机房温湿度控制设施。c）测评实施包括以下内容：1）应核查机房内是否配备了温湿度调节设施；2）应核查温湿度是否在设备运行所允许的范围之内。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.6 温湿度控制,第一级
20,"6.1.1.7 电力供应
6.1.1.7.1 测评单元（L1-PES1-07）
该测评单元包括以下要求：
a）测评指标：应在机房供电线路上配置稳压器和过电压防护设备。b）测评对象：机房供电设施。c）测评实施：应核查供电线路上是否配置了稳压器和过电压防护设备。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.1 安全物理环境,6.1.1.7 电力供应,第一级
21,"6.1.2.1 通信传输
6.1.2.1.1 测评单元（L1-CNS1-01）
该测评单元包括以下要求：
a）测评指标：应采用校验技术保证通信过程中数据的完整性。b）测评对象：提供校验技术功能的设备或组件。c）测评实施：应核查是否在数据传输过程中使用校验技术来保护其完整性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,通信传输安全,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.2 安全通信网络,6.1.2.1 通信传输,第一级
22,"6.1.2.2 可信验证
6.1.2.2.1 测评单元（L1-CNS1-02）
该测评单元包括以下要求：
a）测评指标：可基于可信根对通信设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。b）测评对象：提供可信验证的设备或组件。c）测评实施包括以下内容：1）应核查是否基于可信根对通信设备的系统引导程序、系统程序等进行可信验证；2）应核查当检测到通信设备的可信性受到破坏后是否进行报警。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,可信验证,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.2 安全通信网络,6.1.2.2 可信验证,第一级
23,"6.1.3.1 边界防护
6.1.3.1.1 测评单元（L1-ABS1-01）
该测评单元包括以下要求：
a）测评指标：应保证跨越边界的访问和数据流通过边界设备提供的受控接口进行通信。b）测评对象：网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件。c）测评实施包括以下内容：1）应核查在网络边界处是否部署访问控制设备；2）应核查设备配置信息是否指定端口进行跨越边界的网络通信，指定端口是否配置并启用了安全策略；3）应采用其他技术手段(如非法无线网络设备定位、核查设备配置信息等)核查是否不存在其他未受控端口进行跨越边界的网络通信。d）单元判定：如果1)~3)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,边界防护,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.1 边界防护,第一级
24,"6.1.3.2 访问控制
6.1.3.2.1 测评单元（L1-ABS1-02）
该测评单元包括以下要求：
a）测评指标：应在网络边界根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信。b）测评对象：网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件。c）测评实施包括以下内容：1）应核查在网络边界是否部署访问控制设备并启用访问控制策略；2）应核查设备的最后一条访问控制策略是否为禁止所有网络通信。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.3.2.2 测评单元（L1-ABS1-03）
该测评单元包括以下要求：
a）测评指标：应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化。b）测评对象：网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件。c）测评实施包括以下内容：1）应核查是否不存在多余或无效的访问控制策略；2）应核查不同的访问控制策略之间的逻辑关系及前后排列顺序是否合理。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.3.2.3 测评单元（L1-ABS1-04）
该测评单元包括以下要求：
a）测评指标：应对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出。b）测评对象：网闸、防火墙、路由器、交换机和无线接入网关设备等提供访问控制功能的设备或相关组件。c）测评实施：应核查设备的访问控制策略中是否设定了源地址、目的地址、源端口、目的端口和协议等相关配置参数。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.2 访问控制,第一级
25,"6.1.3.3 可信验证
6.1.3.3.1 测评单元（L1-ABS1-05）
该测评单元包括以下要求：
a）测评指标：可基于可信根对边界设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。b）测评对象：提供可信验证的设备或组件。c）测评实施包括以下内容：1）应核查是否基于可信根对边界设备的系统引导程序、系统程序等进行可信验证；2）应核查当检测到边界设备的可信性受到破坏后是否进行报警。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,可信验证,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.3 安全区域边界,6.1.3.3 可信验证,第一级
26,"6.1.4.1 身份鉴别
6.1.4.1.1 测评单元（L1-CES1-01）
该测评单元包括以下要求：
a）测评指标：应对登录的用户进行身份标识和鉴别，身份标识具有唯一性，身份鉴别信息具有复杂度要求并定期更换。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查用户在登录时是否采用了身份鉴别措施；2）应核查用户列表确认用户身份标识是否具有唯一性；3）应核查用户配置信息是否不存在空口令用户；4）应核查用户鉴别信息是否具有复杂度要求并定期更换。d）单元判定：如果1)和4)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.4.1.2 测评单元（L1-CES1-02）
该测评单元包括以下要求：
a）测评指标：应具有登录失败处理功能，应配置并启用结束会话、限制非法登录次数和当登录连接超时自动退出等相关措施。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否配置并启用了登录失败处理功能；2）应核查是否配置并启用了限制非法登录功能，非法登录达到一定次数后采取特定动作，如账户锁定等；3）应核查是否配置并启用了登录连接超时及自动退出功能。d）单元判定：如果1)~3)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,身份鉴别,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.1 身份鉴别,第一级
27,"6.1.4.2 访问控制
6.1.4.2.1 测评单元（L1-CES1-03）
该测评单元包括以下要求：
a）测评指标：应对登录的用户分配账户和权限。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查用户账户和权限设置情况；2）应核查是否已禁用或限制匿名、默认账户的访问权限。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.4.2.2 测评单元（L1-CES1-04）
该测评单元包括以下要求：
a）测评指标：应重命名或删除默认账户，修改默认账户的默认口令。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否已经重命名默认账户或默认账户已被删除；2）应核查是否已修改默认账户的默认口令。d）单元判定：如果1)或2)为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.4.2.3 测评单元（L1-CES1-05）
该测评单元包括以下要求：
a）测评指标：应及时删除或停用多余的、过期的账户，避免共享账户的存在。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备、控制设备、业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施包括以下内容：1）应核查是否存在多余或过期账户，管理员用户与账户之间是否一一对应；2）应核查多余的、过期的账户是否被删除或停用。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.2 访问控制,第一级
28,"6.1.4.3 入侵防范
6.1.4.3.1 测评单元（L1-CES1-06）
该测评单元包括以下要求：
a）测评指标：应遵循最小安装的原则，仅安装需要的组件和应用程序。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备和控制设备等。c）测评实施包括以下内容：1）应核查是否遵循最小安装原则；2）应确认是否未安装非必要的组件和应用程序。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
6.1.4.3.2 测评单元（L1-CES1-07）
该测评单元包括以下要求：
a）测评指标：应关闭不需要的系统服务、默认共享和高危端口。b）测评对象：终端和服务器等设备中的操作系统（包括宿主机和虚拟机操作系统）、网络设备（包括虚拟网络设备）、安全设备（包括虚拟安全设备）、移动终端、移动终端管理系统、移动终端管理客户端、感知节点设备、网关节点设备和控制设备等。c）测评实施包括以下内容：1）应核查是否关闭了非必要的系统服务和默认共享；2）应核查是否不存在非必要的高危端口。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,入侵防范,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.3 入侵防范,第一级
29,"6.1.4.4 恶意代码防范
6.1.4.4.1 测评单元（L1-CES1-08）
该测评单元包括以下要求：
a）测评指标：应安装防恶意代码软件或配置具有相应功能的软件，并定期进行升级和更新防恶意代码库。b）测评对象：终端和服务器等设备中的操作系统(包括宿主机和虚拟机操作系统)和移动终端等。c）测评实施内容包括以下：1）应核查是否安装了防恶意代码软件或相应功能的软件；2）应核查是否定期进行升级和更新防恶意代码库。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,恶意代码防范,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.4 恶意代码防范,第一级
30,"6.1.4.5 可信验证
6.1.4.5.1 测评单元（L1-CES1-09）
该测评单元包括以下要求：
a）测评指标：可基于可信根对计算设备的系统引导程序、系统程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。b）测评对象：提供可信验证的设备或组件。c）测评实施包括以下内容：1）应核查是否基于可信根对计算设备的系统引导程序、系统程序等进行可信验证；2）应核查当检测到计算设备的可信性受到破坏后是否进行报警。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,可信验证,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.5 可信验证,第一级
31,"6.1.4.6 数据完整性
6.1.4.6.1 测评单元（L1-CES1-10）
该测评单元包括以下要求：
a）测评指标：应采用校验技术保证重要数据在传输过程中的完整性。b）测评对象：业务应用系统、数据库管理系统、中间件和系统管理软件及系统设计文档等。c）测评实施：应核查系统设计文档，重要管理数据、重要业务数据在传输过程中是否采用了校验技术或密码技术保证完整性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据完整性,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.6 数据完整性,第一级
32,"6.1.4.7 数据备份恢复
6.1.4.7.1 测评单元（L1-CES1-11）
该测评单元包括以下要求：
a）测评指标：应提供重要数据的本地数据备份与恢复功能。b）测评对象：配置数据和业务数据。c）测评实施包括以下内容：1）应核查是否按照备份策略进行本地备份；2）应核查备份策略设置是否合理、配置是否正确；3）应核查备份结果是否与备份策略一致；4）应核查近期恢复测试记录，是否能够进行正常的数据恢复。d）单元判定：如果1)~4)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据备份与恢复,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.4 安全计算环境,6.1.4.7 数据备份恢复,第一级
33,"6.1.5.1 管理制度
6.1.5.1.1 测评单元（L1-PSS1-01）
该测评单元包括以下要求：
a）测评指标：应建立日常管理活动中常用的安全管理制度。b）测评对象：安全管理制度类文档。c）测评实施：应核查各项安全管理制度是否覆盖日常管理活动中的管理内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全管理制度,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.5 安全管理制度,6.1.5.1 管理制度,第一级
34,"6.1.6.1 岗位设置
6.1.6.1.1 测评单元（L1-ORS1-01）
该测评单元包括以下要求：
a）测评指标：应设立系统管理员等岗位，并定义各个工作岗位的职责。b）测评对象：信息/网络安全主管和管理制度类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否进行了系统管理员等岗位的划分；2）应核查岗位职责文档是否明确了各岗位职责。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.6 安全管理机构,6.1.6.1 岗位设置,第一级
35,"6.1.6.2 人员配备
6.1.6.2.1 测评单元（L1-ORS1-02）
该测评单元包括以下要求：
a）测评指标：应配备一定数量的系统管理员。b）测评对象：信息/网络安全主管和记录表单类文档。c）测评实施包括以下内容：1）应访谈信息/网络安全主管是否配备一定数量的系统管理员；2）应核查人员配备文档是否有各岗位人员配备情况。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.6 安全管理机构,6.1.6.2 人员配备,第一级
36,"6.1.6.3 授权和审批
6.1.6.3.1 测评单元（L1-ORS1-03）
该测评单元包括以下要求：
a）测评指标：应根据各个部门和岗位的职责明确授权审批事项、审批部门和批准人等。b）测评对象：管理制度类文档和记录表单类文档。c）测评实施包括以下内容：1）应核查部门职责文档是否明确各部门审批事项；2）应核查岗位职责文档是否明确各岗位审批事项。d）单元判定：如果1)和2)均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.6 安全管理机构,6.1.6.3 授权和审批,第一级
37,"6.1.7.1 人员录用
6.1.7.1.1 测评单元（L1-HRS1-01）
该测评单元包括以下要求：
a）测评指标：应指定或授权专门的部门或人员负责人员录用。b）测评对象：信息/网络安全主管。c）测评实施：应访谈信息/网络安全主管是否由专门的部门或人员负责人员的录用工作。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.7 安全管理人员,6.1.7.1 人员录用,第一级
38,"6.1.7.2 人员离岗
6.1.7.2.1 测评单元（L1-HRS1-02）
该测评单元包括以下要求：
a）测评指标：应及时终止离岗人员的所有访问权限，取回各种身份证件、钥匙、徽章等以及机构提供的软硬件设备。b）测评对象：记录表单类文档。c）测评实施：应核查是否具有离岗人员终止其访问权限、交还身份证件、软硬件设备等的登记记录。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,人员安全管理,信息安全技术网络安全等级保护测评要求,6 第一级测评要求,6.1 安全测评通用要求,6.1.7 安全管理人员,6.1.7.2 人员离岗,第一级
